ParcelID,Address,Ward,Neigh,AssN,Usage,Description,Front,Side I,LotSF,Add#,Street
43910201600,4848 Carter Av,1,69,302,Vacant Lot,,30.0,120.0,3303.6049465,4848,Carter
43910201700,4844 Carter Av,1,69,302,Vacant Lot,,30.0,120.0,3508.0,4844,Carter
43911101900,4832 Calvin Av,1,69,302,Vacant Lot,,22.6,124.5,2783.0,4832,Calvin
54630000100,4964 Farlin Av,1,69,302,Vacant Lot,,35.07,120.0,4510.7950735,4964,Farlin
54630000200,4960 Farlin Av,1,69,302,Vacant Lot,,35.0,120.0,4200.0,4960,Farlin
54630000300,4956 Farlin Av,1,69,302,Vacant Lot,,30.0,120.0,3557.0,4956,Farlin
54630000400,4954 Farlin Av,1,69,302,Vacant Lot,,30.0,120.0,3394.0,4954,Farlin
54630001800,4908 Farlin Av,1,69,302,Vacant Lot,,30.0,67.06,3992.0,4908,Farlin
54630002400,4005 N Euclid Av,1,69,302,Vacant Lot,,67.5,110.0,5764.0,4005,Euclid
56210004400,3718-20 N Euclid Av,1,69,302,Vacant Lot,,58.0,77.95,5476.0,3718,Euclid
44590601600,3407 Marcus Av,1,55,307,Vacant Lot,,28.0,110.0,3328.2966185,3407,Marcus
44590601700,3405 Marcus Av,1,55,307,Vacant Lot,,28.0,110.0,3598.642845,3405,Marcus
44590601800,3401 Marcus Av,1,55,307,Vacant Lot,,30.0,110.0,2935.274657,3401,Marcus
44590601900,4711 Ashland Av,1,55,307,Vacant Lot,,30.0,106.0,3665.788318,4711,Ashland
44590602400,4729 Ashland Av,1,55,307,Vacant Lot,,29.0,106.0,3731.4636545,4729,Ashland
44810303600,3063 Marcus Av,1,55,307,Vacant Lot,,33.0,125.0,3716.823259,3063,Marcus
44810303700,3061 Marcus Av,1,55,307,Vacant Lot,,33.5,125.0,3585.804455,3061,Marcus
44810304700,4721 Greer Av,1,55,307,Vacant Lot,,23.5,167.0,3924.0,4721,Greer
44810306100,4757 Greer Av,1,55,307,Vacant Lot,,25.0,165.67,3945.4173385,4757,Greer
44810306200,4759 Greer Av,1,55,307,Vacant Lot,,25.0,165.8,3993.78115,4759,Greer
44810306700,4775 Greer Av,1,55,307,Vacant Lot,,40.0,168.0,6140.39442,4775,Greer
44811000900,4853-7 Greer Av,1,55,307,Vacant Lot,,50.0,130.0,6581.0,4853,Greer
44811001800,3016 N Euclid Av,1,55,307,Vacant Lot,,30.0,132.5,4496.3338985,3016,Euclid
50910001200,4940 Geraldine Av,1,71,326,Vacant Lot,,25.0,127.5,3373.7732715,4940,Geraldine
55580000900,4926 Claxton Av,1,71,326,Vacant Lot,,37.5,125.0,4688.0,4926,Claxton
55580001400,4942 Claxton Av,1,71,326,Vacant Lot,,25.0,125.0,3125.048666,4942,Claxton
55580002000,4956 Claxton Av,1,71,326,Vacant Lot,,25.0,125.0,3125.010845,4956,Claxton
50800000600,5420 Geraldine Av,1,71,327,Vacant Lot,,30.0,127.5,3910.3107975,5420,Geraldine
50800000800,5424 Geraldine Av,1,71,327,Vacant Lot,,30.0,127.6,3695.0,5424,Geraldine
50800000900,5428 Geraldine Av,1,71,327,Vacant Lot,,30.0,127.5,3583.1061445,5428,Geraldine
50800001300,5442 Geraldine Av,1,71,327,Vacant Lot,,25.0,127.5,3250.072768,5442,Geraldine
50800001500,5448 Geraldine Av,1,71,327,Vacant Lot,,45.0,127.5,5567.0,5448,Geraldine
50800003700,5419 Ruskin Av,1,71,327,Vacant Lot,,25.0,127.5,3187.0,5419,Ruskin
50800004000,5407 Ruskin Av,1,71,327,Vacant Lot,,50.0,127.5,6750.1454225,5407,Ruskin
50810000800,5430 Union Blvd,1,71,327,Vacant Lot,,33.0,127.5,4262.035901,5430,Union
50810000900,5434 Union Blvd,1,71,327,Vacant Lot,,33.0,127.0,4011.0699875,5434,Union
50810001000,5436 Union Blvd,1,71,327,Vacant Lot,,33.33,120.5,4496.137132,5436,Union
50810002800,5465 Geraldine Av,1,71,327,Vacant Lot,,25.0,122.83,5422.0,5465,Geraldine
50830003600,5363 Union Blvd,1,71,327,Vacant Lot,,50.0,117.58,5976.0,5363,Union
50840000300,5312 Union Blvd,1,71,327,Vacant Lot,,50.0,127.5,6375.0,5312,Union
50840000400,5316 Union Blvd,1,71,327,Vacant Lot,,50.0,127.5,6488.0,5316,Union
50840000900,5332 Union Blvd,1,71,327,Vacant Lot,,25.0,127.5,3351.5185685,5332,Union
50840001400,5346 Union Blvd,1,71,327,Vacant Lot,,25.0,127.5,3023.900991,5346,Union
50840001500,5348 Union Blvd,1,71,327,Vacant Lot,,25.0,127.5,3612.4242155,5348,Union
50840001600,5350 Union Blvd,1,71,327,Vacant Lot,,50.0,127.5,6353.9860815,5350,Union
50840002200,5372 Union Blvd,1,71,327,Vacant Lot,,25.0,127.5,3336.6435735,5372,Union
50840003000,5371 Geraldine Av,1,71,327,Vacant Lot,,50.0,127.5,6375.0,5371,Geraldine
50840003400,5359 Geraldine Av,1,71,327,Vacant Lot,,50.0,127.5,6625.0853485,5359,Geraldine
50840003500,5351 Geraldine Av,1,71,327,Vacant Lot,,50.0,127.5,6292.0,5351,Geraldine
50840003800,5339 Geraldine Av,1,71,327,Vacant Lot,,50.0,127.6,6586.2177945,5339,Geraldine
50840003900,5331 Geraldine Av,1,71,327,Vacant Lot,,50.0,127.5,6535.1453815,5331,Geraldine
50840004100,5323 Geraldine Av,1,71,327,Vacant Lot,,25.0,127.5,3188.0,5323,Geraldine
50840004400,5315 Geraldine Av,1,71,327,Vacant Lot,,33.0,127.5,4161.0,5315,Geraldine
