Parcel ID,Address,Ward,Neigh,AssN,Usage,Description,Value *,BldgSF,Front,Side1,LotSF,Add#,Street Name
44790003800,4723 St Louis Av,4,55,307,Residential,2 Story Brick Two Family Flat,,1680.0,25.0,159.0,3656.0,4723,St Louis
44790006207,4831-3 St Louis Av,4,55,307,Mixed,2 Story Brick Mixed Use Building,,,56.5,108.58,8350.0,4831,St Louis
44800000200,4854 Greer Av,4,55,307,Residential,3 Story Brick Residence,,1794.0,25.0,155.0,4259.0,4854,Greer
44800001900,4804 Greer Av,4,55,307,Residential,1 Story Brick Residence,,1080.0,25.0,155.0,3524.0,4804,Greer
44800003300,4742 Greer Av,4,55,307,Residential,2 Story Brick Residence,2000.0,1716.0,50.0,155.0,7750.0,4742,Greer
44800005300,4729 Labadie Av,4,55,307,Residential,2 Story Brick Residence,,1494.0,25.0,150.0,3125.0,4729,Labadie
44800007800,4847 Labadie Av,4,55,307,Residential,2 Story Brick Two Family Flat,,1840.0,35.0,155.0,5251.0,4847,Labadie
44800008300,2914 N Euclid Av,4,55,307,Residential,2 Story Brick Residence,,3944.0,40.6,140.0,5817.0,2914,Euclid
44800008700,2928 N Euclid Av,4,55,307,Residential,2 Story Brick Residence,,1408.0,25.0,140.0,3602.0,2928,Euclid
44800008900,2938 N Euclid Av,4,55,307,Residential,2 Story Brick Residence,,2052.0,37.5,140.0,5250.0,2938,Euclid
44800009000,2942 N Euclid Av,4,55,307,Residential,2 Story Brick Residence,,2052.0,37.5,140.0,4498.0,2942,Euclid
37120001600,4637 Maffitt Av,4,56,308,Residential,1 Story Brick Residence,,966.0,25.0,145.0,3625.0,4637,Maffitt
37120001700,4639 Maffitt Av,4,56,308,Residential,2 Story Brick Residence,,1024.0,25.0,145.0,3625.0,4639,Maffitt
37120002100,4649 Maffitt Av,4,56,308,Residential,1 Story Brick Residence,,794.0,26.0,145.0,3920.0,4649,Maffitt
37120002200,4653 Maffitt Av,4,56,308,Residential,1 Story Brick Residence,,811.0,37.5,56.58,2473.0,4653,Maffitt
37130002400,4633 Kennerly Av,4,56,308,Residential,2 Story Brick Residence,,1496.0,25.0,145.0,3625.0,4633,Kennerly
37130003000,4649 Kennerly Av,4,56,308,Residential,2 Story Frame Residence,,1672.0,25.0,145.0,3685.9256065,4649,Kennerly
37800000300,4830 Leduc St,4,55,308,Residential,1 Story Brick Residence,,850.0,24.0,238.58,5720.0,4830,Leduc
37800000800,4814 Leduc St,4,55,308,Residential,2 Story Brick Two Family Flat,,1554.0,24.0,125.0,3000.0,4814,Leduc
37800001100,4800 Leduc St,4,55,308,Residential,2 Story Brick Residence,,2152.0,28.0,241.0,6657.0,4800,Leduc
37800001500,4766 Leduc St,4,55,308,Residential,1 Story Brick Residence,,817.0,25.0,238.58,5939.0,4766,Leduc
37800002100,4752 Leduc St,4,55,308,Residential,2 Story Brick Residence,,1014.0,25.0,242.0,5931.0,4752,Leduc
37800002300,4746 Leduc St,4,55,308,Residential,1 Story Brick Residence,,819.0,25.0,235.0,5928.0,4746,Leduc
37800002600,4738 Leduc St,4,55,308,Residential,1 Story Brick Residence,,1166.0,33.83,236.58,8018.0,4738,Leduc
